t,phi,theta,psi
12.839,-0.302868,-0.24391,-0.0400883
12.909,-0.30323,-0.244234,-0.0400883
12.979,-0.3036,-0.244534,-0.0400883
13.049,-0.303975,-0.244813,-0.0400883
13.12,-0.304354,-0.245097,-0.0400883
13.19,-0.304722,-0.245417,-0.0400883
13.26,-0.305076,-0.245702,-0.0400883
13.33,-0.30545,-0.245995,-0.0400883
13.4,-0.305816,-0.246283,-0.0400883
13.47,-0.30619,-0.246548,-0.0400883
13.541,-0.306549,-0.246852,-0.0400883
13.611,-0.306898,-0.247127,-0.0400883
13.681,-0.307248,-0.247416,-0.0400883
13.751,-0.307603,-0.247703,-0.0400883
13.821,-0.307956,-0.247981,-0.0400883
13.891,-0.308322,-0.248263,-0.0400883
13.962,-0.308663,-0.24855,-0.0400883
14.032,-0.309006,-0.248805,-0.0400883
14.102,-0.309338,-0.249104,-0.0400883
14.172,-0.309695,-0.249346,-0.0400883
14.242,-0.310038,-0.249645,-0.0400883
14.312,-0.310369,-0.249879,-0.0400883
14.382,-0.310709,-0.250124,-0.0400883
14.453,-0.311046,-0.250393,-0.0400883
14.523,-0.311415,-0.25065,-0.0400883
14.593,-0.311706,-0.250919,-0.0400883
14.663,-0.312032,-0.25116,-0.0400883
14.733,-0.312363,-0.251453,-0.0400883
14.803,-0.312683,-0.251685,-0.0400883
14.874,-0.313017,-0.251984,-0.0400883
14.944,-0.31334,-0.252226,-0.0400883
15.014,-0.313679,-0.2525,-0.0400883
15.084,-0.313998,-0.252776,-0.0400883
15.154,-0.314295,-0.257025,-0.0400663
15.224,-0.314627,-0.261277,-0.0400443
15.295,-0.315007,-0.257491,-0.0400664
15.365,-0.315275,-0.253782,-0.0440991
15.435,-0.31563,-0.254009,-0.0440991
15.505,-0.315953,-0.250268,-0.0441212
15.575,-0.316247,-0.246562,-0.0441433
15.645,-0.31258,-0.258794,-0.0440773
15.715,-0.31288,-0.263068,-0.0440554
15.786,-0.313189,-0.263335,-0.0480661
15.856,-0.309453,-0.271632,-0.0480225
15.926,-0.309791,-0.271866,-0.0480225
15.996,-0.310099,-0.272163,-0.0520332
16.066,-0.306327,-0.272379,-0.0520332
16.136,-0.302686,-0.268629,-0.0520545
16.207,-0.30291,-0.268878,-0.0560652
16.277,-0.299234,-0.265113,-0.0560863
16.347,-0.299499,-0.257292,-0.0561281
16.417,-0.299798,-0.261606,-0.0561072
16.487,-0.300124,-0.269799,-0.0560652
16.557,-0.300403,-0.266083,-0.0560862
16.628,-0.30069,-0.270307,-0.0600759
16.698,-0.300967,-0.270594,-0.0600759
16.768,-0.30129,-0.270786,-0.0600759
16.838,-0.301585,-0.27106,-0.0600759
16.908,-0.301872,-0.271255,-0.0600759
16.978,-0.302157,-0.271511,-0.0600759
17.049,-0.302451,-0.263716,-0.0601182
17.119,-0.298754,-0.26396,-0.0601182
17.189,-0.286991,-0.27615,-0.0600566
17.259,-0.18261,-0.284486,-0.144248
17.329,0.605219,-0.315917,-0.533383
17.399,3.44903,-0.33421,-0.598174
17.469,8.41096,-0.344579,-0.695915
17.54,14.9257,-0.41002,-0.942021
17.61,23.0866,-0.368359,-1.44374
17.68,30.957,-0.239447,-1.87195
17.75,37.4774,-0.182725,-1.6405
17.82,44.8264,-0.196676,-1.09669
17.89,52.0481,-0.417309,-1.0603
17.961,57.0697,-0.34858,-0.695526
18.031,60.3283,-0.101752,-0.498916
18.101,62.2798,0.385128,-0.336586
18.171,61.76,0.40799,-0.412507
18.241,58.8175,0.6836,-0.592202
18.311,54.9172,0.418179,-0.721378
18.382,50.1659,0.0495608,-1.23236
18.452,45.0494,-0.325991,-1.56904
18.522,39.8727,-0.733923,-1.61806
18.592,35.1928,-1.11565,-1.89836
18.662,31.0253,-1.3738,-2.25042
18.732,26.8726,-1.52633,-2.49614
18.802,23.0472,-1.38028,-2.51591
18.873,20.0656,-1.20707,-2.26964
18.943,17.4776,-0.47304,-1.44176
19.013,14.0738,0.0299588,-0.793426
19.083,10.5285,-0.0159255,-0.569385
19.153,7.32405,0.0378205,-0.447109
19.223,4.5085,0.0696044,-0.556655
19.294,1.96577,-0.124761,-0.945689
19.364,-0.0793443,-0.181902,-1.1553
19.434,-0.773636,-0.201849,-1.11105
19.504,-0.741837,-0.221938,-1.09875
19.574,-0.705987,-0.142087,-1.1118
19.644,-0.662013,-0.0905883,-1.14851
19.715,-0.541938,-0.0709918,-1.17279
19.785,-0.373554,-0.17615,-1.25215
19.855,-0.36579,-0.204448,-1.25197
19.925,-0.37006,-0.192602,-1.25205
19.995,-0.370281,-0.192801,-1.25205
20.065,-0.36658,-0.201019,-1.252
20.135,-0.374824,-0.189223,-1.24806
20.206,-0.755682,-0.210596,-1.36819
20.276,-1.19987,-0.220298,-1.68894
20.346,-1.90432,-0.317077,-2.00334
20.416,-5.47424,-0.559447,-2.48265
20.486,-13.198,-0.142593,-4.59727
20.556,-21.7314,1.54622,-6.51063
20.627,-29.4316,2.82137,-8.22755
20.697,-37.3541,3.07021,-10.0978
20.767,-43.1814,3.42883,-11.232
20.837,-47.4838,3.40781,-11.8994
20.907,-50.4514,3.51154,-12.4444
20.977,-51.8538,3.70475,-12.9337
21.048,-50.4348,3.55477,-12.5029
21.118,-46.3952,2.90964,-11.5144
21.188,-41.268,2.65326,-10.4114
21.258,-35.4887,2.31111,-9.49006
21.328,-29.5038,2.249,-7.86064
21.398,-23.3486,1.64678,-5.81026
21.469,-17.7375,0.132886,-4.59102
21.539,-11.7106,-1.14035,-3.42739
21.609,-7.11644,-1.82784,-2.87925
21.679,-4.08605,-2.51257,-2.51977
21.749,-1.86999,-3.72586,-2.20492
21.819,-0.373211,-1.97738,-1.83179
21.889,-0.384598,-1.52926,-1.99125
21.96,-0.374438,-1.38872,-1.92799
22.03,-0.372169,-1.12883,-2.038
22.1,-0.363905,-0.773882,-2.30503
22.17,-0.298192,-0.189503,-2.50899
22.24,-0.298528,-0.189772,-2.50899
22.31,-0.298703,-0.185882,-2.51302
